dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-3.csv,None,0.81,0.55,0.55,0.55,0.1,0.59,0.68,0.67
prop-3.csv,GSMB,0.88,0.6,0.52,0.51,0.08,0.56,0.68,0.66
prop-3.csv,IAMB,0.88,0.6,0.52,0.51,0.08,0.55,0.68,0.66
prop-3.csv,IAMBnPC,0.87,0.59,0.52,0.51,0.08,0.56,0.68,0.66
prop-3.csv,LRH,0.88,0.6,0.52,0.51,0.08,0.56,0.68,0.66
prop-3.csv,BAMB,0.87,0.6,0.53,0.53,0.11,0.56,0.69,0.67
prop-3.csv,FBEDk,0.87,0.6,0.53,0.53,0.1,0.57,0.68,0.66
prop-3.csv,MMMB,0.86,0.56,0.52,0.51,0.07,0.55,0.67,0.66
prop-3.csv,PCMB,0.88,0.59,0.52,0.51,0.08,0.56,0.68,0.66
prop-3.csv,HITON_MB,0.87,0.58,0.52,0.51,0.07,0.55,0.68,0.66
prop-3.csv,MBOR,0.88,0.59,0.52,0.51,0.07,0.56,0.68,0.66
prop-3.csv,IPCMB,0.88,0.59,0.51,0.51,0.07,0.56,0.68,0.66
prop-3.csv,STMB,0.88,0.6,0.52,0.51,0.08,0.56,0.68,0.66
prop-3.csv,KIAMB,0.88,0.59,0.52,0.51,0.07,0.56,0.68,0.66
prop-3.csv,TIE_P,0.87,0.6,0.53,0.54,0.12,0.58,0.69,0.67
prop-3.csv,Chi-Square1,0.82,0.55,0.55,0.55,0.1,0.57,0.68,0.67
prop-3.csv,Chi-Square2,0.81,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,Chi-Square3,0.82,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,Chi-Square4,0.82,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,Mutual-Info1,0.82,0.55,0.55,0.55,0.09,0.57,0.68,0.67
prop-3.csv,Mutual-Info2,0.83,0.55,0.55,0.55,0.1,0.56,0.68,0.67
prop-3.csv,Mutual-Info3,0.83,0.56,0.55,0.55,0.11,0.57,0.69,0.68
prop-3.csv,Mutual-Info4,0.82,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,Anova1,0.84,0.56,0.54,0.55,0.1,0.59,0.69,0.67
prop-3.csv,Anova2,0.81,0.55,0.55,0.55,0.09,0.58,0.68,0.67
prop-3.csv,Anova3,0.82,0.55,0.55,0.55,0.1,0.57,0.68,0.67
prop-3.csv,Anova4,0.82,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,DropCorrelated1,0.84,0.57,0.55,0.56,0.12,0.59,0.69,0.68
prop-3.csv,DropCorrelated2,0.82,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,DropCorrelated3,0.82,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,DropCorrelated4,0.83,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,SmartCorrelated1,0.84,0.57,0.55,0.56,0.12,0.61,0.69,0.68
prop-3.csv,SmartCorrelated2,0.83,0.56,0.55,0.55,0.11,0.57,0.69,0.68
prop-3.csv,SmartCorrelated3,0.84,0.56,0.54,0.55,0.1,0.57,0.68,0.67
prop-3.csv,SmartCorrelated4,0.82,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,RFE-Logistic1,0.84,0.56,0.55,0.55,0.11,0.57,0.69,0.68
prop-3.csv,RFE-Logistic2,0.84,0.56,0.55,0.56,0.11,0.56,0.69,0.68
prop-3.csv,RFE-Logistic3,0.83,0.57,0.56,0.56,0.12,0.58,0.69,0.68
prop-3.csv,RFE-Logistic4,0.83,0.56,0.56,0.56,0.12,0.58,0.69,0.68
prop-3.csv,Forward1,0.82,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,Forward2,0.82,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,Forward3,0.81,0.54,0.54,0.54,0.09,0.58,0.68,0.67
prop-3.csv,Forward4,0.81,0.55,0.55,0.55,0.1,0.58,0.68,0.67
prop-3.csv,RFE-Random1,0.88,0.61,0.52,0.52,0.09,0.54,0.68,0.66
prop-3.csv,RFE-Random2,0.87,0.6,0.53,0.54,0.12,0.55,0.69,0.67
prop-3.csv,RFE-Random3,0.87,0.6,0.55,0.55,0.14,0.61,0.7,0.68
prop-3.csv,RFE-Random4,0.87,0.62,0.55,0.57,0.16,0.62,0.7,0.68
