dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-3.csv,None,0.66,0.56,0.65,0.54,0.19,0.65,0.65,0.65
prop-3.csv,GSMB,0.63,0.51,0.52,0.48,0.03,0.52,0.59,0.59
prop-3.csv,IAMB,0.63,0.51,0.52,0.48,0.03,0.52,0.58,0.59
prop-3.csv,IAMBnPC,0.63,0.51,0.52,0.48,0.03,0.52,0.59,0.59
prop-3.csv,LRH,0.64,0.51,0.52,0.48,0.03,0.52,0.59,0.59
prop-3.csv,BAMB,0.67,0.52,0.53,0.49,0.05,0.53,0.61,0.61
prop-3.csv,FBEDk,0.64,0.51,0.52,0.48,0.03,0.52,0.59,0.59
prop-3.csv,MMMB,0.63,0.51,0.52,0.47,0.03,0.52,0.58,0.58
prop-3.csv,PCMB,0.63,0.51,0.52,0.47,0.03,0.52,0.58,0.58
prop-3.csv,HITON_MB,0.64,0.51,0.52,0.48,0.03,0.52,0.59,0.59
prop-3.csv,MBOR,0.63,0.51,0.52,0.47,0.03,0.52,0.58,0.58
prop-3.csv,IPCMB,0.63,0.51,0.52,0.47,0.03,0.52,0.58,0.58
prop-3.csv,STMB,0.65,0.51,0.52,0.48,0.03,0.52,0.59,0.6
prop-3.csv,KIAMB,0.71,0.52,0.53,0.51,0.04,0.53,0.62,0.63
prop-3.csv,TIE_P,0.69,0.52,0.53,0.5,0.05,0.53,0.62,0.62
prop-3.csv,Chi-Square1,0.16,0.55,0.52,0.16,0.07,0.52,0.1,0.25
prop-3.csv,Chi-Square2,0.66,0.56,0.62,0.53,0.17,0.62,0.65,0.65
prop-3.csv,Chi-Square3,0.3,0.54,0.56,0.29,0.1,0.56,0.31,0.37
prop-3.csv,Chi-Square4,0.67,0.56,0.63,0.54,0.18,0.63,0.66,0.66
prop-3.csv,Mutual-Info1,0.21,0.54,0.54,0.21,0.08,0.54,0.19,0.29
prop-3.csv,Mutual-Info2,0.67,0.56,0.63,0.54,0.18,0.63,0.66,0.66
prop-3.csv,Mutual-Info3,0.46,0.55,0.62,0.42,0.15,0.62,0.49,0.5
prop-3.csv,Mutual-Info4,0.65,0.56,0.64,0.53,0.19,0.64,0.65,0.65
prop-3.csv,Anova1,0.65,0.56,0.63,0.53,0.17,0.63,0.64,0.64
prop-3.csv,Anova2,0.47,0.55,0.62,0.42,0.16,0.62,0.5,0.51
prop-3.csv,Anova3,0.61,0.56,0.64,0.51,0.18,0.64,0.62,0.62
prop-3.csv,Anova4,0.66,0.56,0.63,0.53,0.18,0.63,0.65,0.65
prop-3.csv,DropCorrelated1,0.73,0.56,0.62,0.56,0.17,0.62,0.68,0.68
prop-3.csv,DropCorrelated2,0.67,0.56,0.63,0.54,0.17,0.63,0.66,0.66
prop-3.csv,DropCorrelated3,0.7,0.57,0.64,0.56,0.2,0.64,0.68,0.68
prop-3.csv,DropCorrelated4,0.69,0.56,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,SmartCorrelated1,0.73,0.56,0.61,0.55,0.16,0.61,0.68,0.68
prop-3.csv,SmartCorrelated2,0.66,0.56,0.63,0.53,0.17,0.63,0.65,0.65
prop-3.csv,SmartCorrelated3,0.7,0.57,0.64,0.56,0.19,0.64,0.68,0.68
prop-3.csv,SmartCorrelated4,0.67,0.57,0.65,0.54,0.2,0.65,0.66,0.66
prop-3.csv,RFE-Logistic1,0.74,0.56,0.61,0.56,0.16,0.61,0.68,0.68
prop-3.csv,RFE-Logistic2,0.71,0.56,0.62,0.55,0.17,0.62,0.67,0.67
prop-3.csv,RFE-Logistic3,0.2,0.54,0.53,0.2,0.07,0.53,0.17,0.28
prop-3.csv,RFE-Logistic4,0.67,0.56,0.63,0.53,0.17,0.63,0.65,0.65
prop-3.csv,Forward1,0.71,0.56,0.63,0.56,0.18,0.63,0.68,0.68
prop-3.csv,Forward2,0.7,0.56,0.63,0.55,0.18,0.63,0.67,0.67
prop-3.csv,RFE-Random1,0.66,0.51,0.53,0.49,0.04,0.53,0.6,0.61
prop-3.csv,RFE-Random2,0.7,0.52,0.54,0.51,0.06,0.54,0.63,0.63
prop-3.csv,RFE-Random3,0.59,0.5,0.51,0.45,0.01,0.51,0.55,0.56
prop-3.csv,RFE-Random4,0.63,0.55,0.63,0.52,0.17,0.63,0.63,0.63
prop-3.csv,Forward3,0.67,0.57,0.66,0.55,0.21,0.66,0.66,0.66
prop-3.csv,Forward4,0.7,0.56,0.63,0.55,0.18,0.63,0.67,0.67
prop-3.csv,Backward1,0.68,0.56,0.62,0.54,0.17,0.62,0.66,0.66
prop-3.csv,Backward2,0.68,0.57,0.65,0.55,0.2,0.65,0.67,0.67
prop-3.csv,Backward3,0.66,0.57,0.65,0.54,0.2,0.65,0.66,0.66
prop-3.csv,Backward4,0.67,0.57,0.65,0.54,0.2,0.65,0.66,0.66
prop-3.csv,Auto-Spearman,0.67,0.56,0.65,0.54,0.19,0.65,0.66,0.66
prop-3.csv,ATE-FS,0.68,0.56,0.63,0.54,0.17,0.68,0.66,0.66
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-4.csv,None,0.67,0.57,0.68,0.54,0.22,0.68,0.67,0.67
prop-4.csv,GSMB,0.52,0.53,0.6,0.43,0.11,0.6,0.54,0.54
prop-4.csv,IAMB,0.52,0.53,0.59,0.44,0.11,0.59,0.55,0.55
prop-4.csv,IAMBnPC,0.58,0.53,0.58,0.46,0.1,0.58,0.58,0.58
prop-4.csv,LRH,0.52,0.53,0.59,0.43,0.11,0.59,0.54,0.54
prop-4.csv,BAMB,0.52,0.53,0.59,0.44,0.11,0.59,0.54,0.55
prop-4.csv,FBEDk,0.52,0.53,0.59,0.44,0.11,0.59,0.54,0.55
prop-4.csv,MMMB,0.59,0.53,0.59,0.47,0.11,0.59,0.59,0.59
prop-4.csv,PCMB,0.58,0.53,0.59,0.46,0.1,0.59,0.58,0.58
prop-4.csv,HITON_MB,0.58,0.53,0.59,0.46,0.11,0.59,0.58,0.58
prop-4.csv,MBOR,0.59,0.53,0.59,0.47,0.11,0.59,0.59,0.59
prop-4.csv,IPCMB,0.55,0.53,0.59,0.45,0.11,0.59,0.56,0.56
prop-4.csv,STMB,0.53,0.53,0.59,0.44,0.1,0.59,0.55,0.55
prop-4.csv,KIAMB,0.53,0.53,0.59,0.44,0.11,0.59,0.55,0.55
prop-4.csv,TIE_P,0.52,0.53,0.59,0.44,0.11,0.59,0.55,0.55
prop-4.csv,Chi-Square1,0.1,0.5,0.5,0.09,0,0.5,0,0.21
prop-4.csv,Chi-Square2,0.7,0.56,0.66,0.55,0.2,0.66,0.68,0.68
prop-4.csv,Chi-Square3,0.56,0.54,0.61,0.46,0.13,0.61,0.58,0.58
prop-4.csv,Chi-Square4,0.63,0.55,0.64,0.5,0.17,0.64,0.63,0.63
prop-4.csv,Mutual-Info1,0.69,0.56,0.65,0.54,0.19,0.65,0.67,0.67
prop-4.csv,Mutual-Info2,0.7,0.57,0.69,0.56,0.24,0.69,0.7,0.7
prop-4.csv,Mutual-Info3,0.67,0.57,0.68,0.54,0.22,0.68,0.67,0.67
prop-4.csv,Mutual-Info4,0.67,0.57,0.68,0.54,0.22,0.68,0.67,0.67
prop-4.csv,Anova1,0.7,0.56,0.65,0.54,0.19,0.65,0.68,0.68
prop-4.csv,Anova2,0.66,0.56,0.67,0.53,0.2,0.67,0.66,0.66
prop-4.csv,Anova3,0.67,0.56,0.67,0.53,0.21,0.67,0.67,0.67
prop-4.csv,Anova4,0.67,0.57,0.67,0.54,0.21,0.67,0.67,0.67
prop-4.csv,DropCorrelated1,0.71,0.55,0.63,0.54,0.16,0.63,0.67,0.67
prop-4.csv,DropCorrelated2,0.71,0.55,0.63,0.54,0.16,0.63,0.68,0.68
prop-4.csv,DropCorrelated3,0.7,0.56,0.64,0.54,0.18,0.64,0.68,0.68
prop-4.csv,DropCorrelated4,0.67,0.57,0.68,0.53,0.22,0.68,0.67,0.67
prop-4.csv,SmartCorrelated1,0.74,0.56,0.63,0.56,0.18,0.63,0.69,0.69
prop-4.csv,SmartCorrelated2,0.8,0.58,0.65,0.59,0.22,0.65,0.73,0.72
prop-4.csv,SmartCorrelated3,0.75,0.56,0.64,0.56,0.19,0.64,0.7,0.7
prop-4.csv,SmartCorrelated4,0.67,0.57,0.67,0.53,0.21,0.67,0.67,0.67
prop-4.csv,RFE-Logistic1,0.7,0.56,0.65,0.54,0.19,0.65,0.68,0.68
prop-4.csv,RFE-Logistic2,0.77,0.58,0.67,0.59,0.23,0.67,0.72,0.72
prop-4.csv,RFE-Logistic3,0.74,0.56,0.64,0.56,0.19,0.64,0.7,0.69
prop-4.csv,RFE-Logistic4,0.71,0.56,0.64,0.54,0.18,0.64,0.68,0.68
prop-4.csv,Forward1,0.69,0.56,0.66,0.54,0.2,0.66,0.68,0.68
prop-4.csv,Forward2,0.73,0.58,0.69,0.57,0.25,0.69,0.71,0.71
prop-4.csv,RFE-Random1,0.65,0.52,0.54,0.48,0.06,0.54,0.6,0.6
prop-4.csv,RFE-Random2,0.67,0.55,0.63,0.52,0.16,0.63,0.66,0.66
prop-4.csv,RFE-Random3,0.73,0.56,0.64,0.55,0.18,0.64,0.69,0.69
prop-4.csv,RFE-Random4,0.71,0.56,0.64,0.54,0.18,0.64,0.68,0.68
prop-4.csv,Forward3,0.66,0.56,0.67,0.53,0.21,0.67,0.67,0.67
prop-4.csv,Forward4,0.67,0.57,0.67,0.53,0.21,0.67,0.67,0.67
prop-4.csv,Backward1,0.74,0.58,0.67,0.57,0.23,0.67,0.71,0.71
prop-4.csv,Backward2,0.7,0.56,0.66,0.55,0.2,0.66,0.68,0.68
prop-4.csv,Backward3,0.71,0.58,0.69,0.56,0.24,0.69,0.7,0.7
prop-4.csv,Backward4,0.71,0.58,0.69,0.56,0.25,0.69,0.71,0.71
prop-4.csv,Auto-Spearman,0.66,0.56,0.65,0.52,0.18,0.65,0.66,0.66
prop-4.csv,ATE-FS,0.67,0.55,0.62,0.52,0.15,0.68,0.65,0.65
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-2.csv,None,0.64,0.56,0.65,0.52,0.19,0.65,0.65,0.65
prop-2.csv,GSMB,0.54,0.53,0.59,0.45,0.11,0.59,0.55,0.55
prop-2.csv,IAMB,0.53,0.54,0.59,0.45,0.12,0.59,0.55,0.55
prop-2.csv,IAMBnPC,0.58,0.54,0.59,0.47,0.11,0.59,0.58,0.58
prop-2.csv,LRH,0.54,0.53,0.59,0.45,0.11,0.59,0.56,0.56
prop-2.csv,BAMB,0.54,0.53,0.59,0.45,0.11,0.59,0.56,0.56
prop-2.csv,FBEDk,0.54,0.53,0.59,0.45,0.11,0.59,0.55,0.55
prop-2.csv,MMMB,0.49,0.54,0.6,0.42,0.12,0.6,0.52,0.52
prop-2.csv,PCMB,0.66,0.52,0.54,0.49,0.06,0.54,0.61,0.61
prop-2.csv,HITON_MB,0.62,0.53,0.58,0.49,0.1,0.58,0.6,0.6
prop-2.csv,MBOR,0.5,0.54,0.6,0.43,0.12,0.6,0.53,0.53
prop-2.csv,IPCMB,0.54,0.53,0.59,0.45,0.11,0.59,0.55,0.56
prop-2.csv,STMB,0.54,0.53,0.59,0.45,0.11,0.59,0.56,0.56
prop-2.csv,KIAMB,0.51,0.53,0.59,0.44,0.11,0.59,0.53,0.54
prop-2.csv,TIE_P,0.53,0.53,0.59,0.44,0.11,0.59,0.55,0.55
prop-2.csv,Chi-Square1,0.13,0.54,0.51,0.12,0.04,0.51,0.05,0.23
prop-2.csv,Chi-Square2,0.15,0.54,0.52,0.15,0.05,0.52,0.09,0.25
prop-2.csv,Chi-Square3,0.19,0.54,0.54,0.19,0.08,0.54,0.17,0.29
prop-2.csv,Chi-Square4,0.67,0.55,0.62,0.53,0.16,0.62,0.65,0.65
prop-2.csv,Mutual-Info1,0.15,0.5,0.5,0.14,0,0.5,0.09,0.24
prop-2.csv,Mutual-Info2,0.13,0.54,0.51,0.13,0.04,0.51,0.06,0.23
prop-2.csv,Mutual-Info3,0.69,0.55,0.61,0.53,0.15,0.61,0.66,0.66
prop-2.csv,Mutual-Info4,0.7,0.56,0.63,0.54,0.17,0.63,0.67,0.67
prop-2.csv,Anova1,0.71,0.56,0.63,0.55,0.18,0.63,0.68,0.68
prop-2.csv,Anova2,0.12,0.54,0.51,0.12,0.04,0.51,0.04,0.23
prop-2.csv,Anova3,0.67,0.55,0.62,0.53,0.16,0.62,0.65,0.65
prop-2.csv,Anova4,0.66,0.55,0.63,0.53,0.17,0.63,0.65,0.65
prop-2.csv,DropCorrelated1,0.68,0.55,0.62,0.53,0.16,0.62,0.66,0.66
prop-2.csv,DropCorrelated2,0.65,0.56,0.66,0.53,0.2,0.66,0.65,0.65
prop-2.csv,DropCorrelated3,0.64,0.56,0.64,0.52,0.18,0.64,0.64,0.64
prop-2.csv,DropCorrelated4,0.65,0.56,0.65,0.53,0.2,0.65,0.65,0.65
prop-2.csv,SmartCorrelated1,0.76,0.56,0.61,0.56,0.16,0.61,0.69,0.69
prop-2.csv,SmartCorrelated2,0.74,0.56,0.61,0.56,0.16,0.61,0.69,0.69
prop-2.csv,SmartCorrelated3,0.66,0.55,0.61,0.52,0.14,0.61,0.64,0.64
prop-2.csv,SmartCorrelated4,0.67,0.56,0.65,0.54,0.2,0.65,0.67,0.67
prop-2.csv,RFE-Logistic1,0.73,0.56,0.62,0.55,0.16,0.62,0.68,0.68
prop-2.csv,RFE-Logistic2,0.5,0.55,0.64,0.44,0.17,0.64,0.54,0.54
prop-2.csv,RFE-Logistic3,0.68,0.55,0.62,0.53,0.16,0.62,0.65,0.65
prop-2.csv,RFE-Logistic4,0.69,0.56,0.63,0.54,0.17,0.63,0.67,0.67
prop-2.csv,Forward1,0.72,0.55,0.62,0.55,0.16,0.62,0.68,0.67
prop-2.csv,Forward2,0.73,0.55,0.61,0.55,0.15,0.61,0.68,0.68
prop-2.csv,RFE-Random1,0.3,0.42,0.5,0.24,0.01,0.5,0.24,0.34
prop-2.csv,RFE-Random2,0.54,0.53,0.57,0.45,0.09,0.57,0.55,0.55
prop-2.csv,RFE-Random3,0.67,0.55,0.62,0.53,0.16,0.62,0.65,0.65
prop-2.csv,RFE-Random4,0.68,0.55,0.62,0.53,0.16,0.62,0.65,0.65
prop-2.csv,Forward3,0.71,0.56,0.64,0.55,0.18,0.64,0.68,0.68
prop-2.csv,Forward4,0.69,0.56,0.63,0.54,0.18,0.63,0.67,0.67
prop-2.csv,Backward1,0.66,0.56,0.64,0.52,0.17,0.64,0.65,0.65
prop-2.csv,Backward2,0.63,0.56,0.65,0.52,0.19,0.65,0.64,0.64
prop-2.csv,Backward3,0.66,0.56,0.63,0.53,0.17,0.63,0.65,0.65
prop-2.csv,Backward4,0.65,0.56,0.64,0.52,0.18,0.64,0.64,0.64
prop-2.csv,Auto-Spearman,0.62,0.56,0.66,0.51,0.19,0.66,0.63,0.63
prop-2.csv,ATE-FS,0.72,0.56,0.62,0.55,0.16,0.65,0.68,0.68
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
