dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-3.csv,None,0.83,0.56,0.55,0.55,0.11,0.7,0.69,0.68
prop-3.csv,GSMB,0.78,0.55,0.57,0.55,0.12,0.65,0.68,0.68
prop-3.csv,IAMB,0.8,0.55,0.55,0.54,0.09,0.62,0.67,0.66
prop-3.csv,IAMBnPC,0.8,0.55,0.55,0.54,0.09,0.62,0.67,0.66
prop-3.csv,LRH,0.79,0.55,0.55,0.54,0.09,0.62,0.67,0.66
prop-3.csv,BAMB,0.81,0.55,0.54,0.53,0.08,0.62,0.67,0.66
prop-3.csv,FBEDk,0.8,0.55,0.55,0.54,0.09,0.62,0.67,0.66
prop-3.csv,MMMB,0.75,0.55,0.59,0.56,0.14,0.68,0.68,0.68
prop-3.csv,PCMB,0.81,0.55,0.54,0.53,0.09,0.62,0.67,0.66
prop-3.csv,HITON_MB,0.75,0.56,0.6,0.56,0.15,0.68,0.68,0.68
prop-3.csv,MBOR,0.8,0.55,0.55,0.54,0.1,0.62,0.67,0.67
prop-3.csv,IPCMB,0.71,0.54,0.58,0.53,0.11,0.62,0.65,0.65
prop-3.csv,STMB,0.79,0.55,0.55,0.54,0.1,0.62,0.67,0.67
prop-3.csv,KIAMB,0.8,0.55,0.54,0.53,0.08,0.62,0.67,0.66
prop-3.csv,TIE_P,0.78,0.55,0.57,0.55,0.12,0.66,0.68,0.68
prop-3.csv,Chi-Square1,0.72,0.57,0.64,0.56,0.2,0.72,0.69,0.69
prop-3.csv,Chi-Square2,0.82,0.55,0.55,0.55,0.1,0.67,0.68,0.67
prop-3.csv,Chi-Square3,0.82,0.55,0.55,0.55,0.1,0.69,0.68,0.67
prop-3.csv,Chi-Square4,0.82,0.55,0.54,0.55,0.09,0.68,0.68,0.67
prop-3.csv,Mutual-Info1,0.83,0.56,0.55,0.55,0.11,0.67,0.69,0.68
prop-3.csv,Mutual-Info2,0.82,0.55,0.55,0.55,0.09,0.68,0.68,0.67
prop-3.csv,Mutual-Info3,0.83,0.55,0.54,0.55,0.09,0.68,0.68,0.67
prop-3.csv,Mutual-Info4,0.83,0.56,0.55,0.55,0.11,0.69,0.69,0.68
prop-3.csv,Anova1,0.76,0.57,0.62,0.58,0.18,0.71,0.7,0.7
prop-3.csv,Anova2,0.82,0.55,0.54,0.55,0.09,0.66,0.68,0.67
prop-3.csv,Anova3,0.83,0.55,0.54,0.55,0.09,0.67,0.68,0.67
prop-3.csv,Anova4,0.83,0.56,0.55,0.55,0.11,0.69,0.69,0.68
