dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-3.csv,None,0.68,0.56,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,GSMB,0.63,0.51,0.52,0.48,0.03,0.52,0.58,0.59
prop-3.csv,IAMB,0.63,0.51,0.52,0.48,0.03,0.52,0.58,0.59
prop-3.csv,IAMBnPC,0.63,0.51,0.52,0.48,0.03,0.52,0.58,0.59
prop-3.csv,LRH,0.63,0.51,0.52,0.48,0.03,0.52,0.58,0.59
prop-3.csv,BAMB,0.47,0.53,0.57,0.41,0.08,0.57,0.5,0.5
prop-3.csv,FBEDk,0.47,0.53,0.57,0.41,0.08,0.57,0.5,0.5
prop-3.csv,MMMB,0.63,0.51,0.52,0.48,0.03,0.52,0.58,0.59
prop-3.csv,PCMB,0.28,0.53,0.55,0.28,0.08,0.55,0.3,0.35
prop-3.csv,HITON_MB,0.47,0.53,0.57,0.41,0.08,0.57,0.5,0.5
prop-3.csv,MBOR,0.63,0.51,0.52,0.48,0.03,0.52,0.58,0.59
prop-3.csv,IPCMB,0.63,0.51,0.52,0.48,0.03,0.52,0.58,0.59
prop-3.csv,STMB,0.63,0.51,0.52,0.48,0.03,0.52,0.58,0.59
prop-3.csv,KIAMB,0.47,0.53,0.57,0.41,0.08,0.57,0.5,0.5
prop-3.csv,TIE_P,0.47,0.53,0.57,0.41,0.08,0.57,0.5,0.5
prop-3.csv,Chi-Square1,0.69,0.56,0.63,0.55,0.18,0.63,0.67,0.67
prop-3.csv,Chi-Square2,0.68,0.56,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,Chi-Square3,0.69,0.56,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,Chi-Square4,0.69,0.57,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,Mutual-Info1,0.63,0.55,0.62,0.51,0.15,0.62,0.63,0.63
prop-3.csv,Mutual-Info2,0.68,0.56,0.64,0.55,0.18,0.64,0.67,0.67
prop-3.csv,Mutual-Info3,0.69,0.56,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,Mutual-Info4,0.69,0.56,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,Anova1,0.62,0.56,0.64,0.52,0.18,0.64,0.63,0.63
prop-3.csv,Anova2,0.66,0.57,0.65,0.54,0.2,0.65,0.66,0.66
prop-3.csv,Anova3,0.68,0.56,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,Anova4,0.68,0.56,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,DropCorrelated1,0.65,0.56,0.63,0.53,0.17,0.63,0.64,0.64
prop-3.csv,DropCorrelated2,0.66,0.56,0.65,0.54,0.19,0.65,0.65,0.65
prop-3.csv,DropCorrelated3,0.65,0.56,0.64,0.53,0.19,0.64,0.65,0.65
prop-3.csv,DropCorrelated4,0.65,0.56,0.65,0.53,0.19,0.65,0.65,0.65
prop-3.csv,SmartCorrelated1,0.72,0.56,0.61,0.55,0.16,0.61,0.68,0.68
prop-3.csv,SmartCorrelated2,0.66,0.56,0.65,0.54,0.2,0.65,0.65,0.65
prop-3.csv,SmartCorrelated3,0.66,0.56,0.65,0.54,0.19,0.65,0.65,0.65
prop-3.csv,SmartCorrelated4,0.65,0.56,0.65,0.53,0.2,0.65,0.65,0.65
prop-3.csv,RFE-Logistic1,0.7,0.56,0.63,0.55,0.18,0.63,0.67,0.67
prop-3.csv,RFE-Logistic2,0.7,0.56,0.63,0.55,0.18,0.63,0.67,0.67
prop-3.csv,RFE-Logistic3,0.69,0.57,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,RFE-Logistic4,0.7,0.56,0.63,0.55,0.18,0.63,0.67,0.67
prop-3.csv,Forward1,0.66,0.56,0.64,0.53,0.19,0.64,0.65,0.65
prop-3.csv,Forward2,0.65,0.56,0.64,0.53,0.18,0.64,0.64,0.64
prop-3.csv,Forward3,0.65,0.56,0.64,0.53,0.19,0.64,0.65,0.65
prop-3.csv,Forward4,0.69,0.56,0.64,0.55,0.19,0.64,0.67,0.67
prop-3.csv,RFE-Random1,0.83,0.55,0.54,0.54,0.09,0.54,0.68,0.67
prop-3.csv,RFE-Random2,0.84,0.55,0.54,0.54,0.09,0.54,0.68,0.67
prop-3.csv,RFE-Random3,0.84,0.55,0.54,0.54,0.09,0.54,0.68,0.67
prop-3.csv,RFE-Random4,0.63,0.55,0.62,0.51,0.16,0.62,0.62,0.62
prop-3.csv,Backward1,0.6,0.56,0.63,0.5,0.17,0.63,0.61,0.61
prop-3.csv,Backward2,0.6,0.56,0.64,0.5,0.17,0.64,0.61,0.61
prop-3.csv,Backward3,0.59,0.55,0.63,0.5,0.17,0.63,0.6,0.6
prop-3.csv,Backward4,0.59,0.56,0.63,0.5,0.17,0.63,0.6,0.61
prop-3.csv,Auto-Spearman,0.65,0.56,0.63,0.53,0.18,0.63,0.64,0.64
prop-3.csv,ATE-FS,0.65,0.56,0.63,0.53,0.18,0.63,0.64,0.64
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-4.csv,None,0.79,0.58,0.64,0.59,0.21,0.64,0.72,0.72
prop-4.csv,GSMB,0.49,0.54,0.6,0.42,0.12,0.6,0.52,0.53
prop-4.csv,IAMB,0.49,0.54,0.6,0.42,0.12,0.6,0.52,0.52
prop-4.csv,IAMBnPC,0.48,0.53,0.59,0.41,0.1,0.59,0.51,0.52
prop-4.csv,LRH,0.49,0.54,0.6,0.42,0.12,0.6,0.52,0.52
prop-4.csv,BAMB,0.49,0.54,0.6,0.42,0.12,0.6,0.52,0.53
prop-4.csv,FBEDk,0.49,0.53,0.6,0.42,0.12,0.6,0.52,0.52
prop-4.csv,MMMB,0.52,0.54,0.6,0.44,0.12,0.6,0.55,0.55
prop-4.csv,PCMB,0.52,0.54,0.61,0.44,0.13,0.61,0.55,0.55
prop-4.csv,HITON_MB,0.49,0.53,0.6,0.42,0.12,0.6,0.52,0.52
prop-4.csv,MBOR,0.52,0.54,0.6,0.44,0.12,0.6,0.55,0.55
prop-4.csv,IPCMB,0.57,0.54,0.61,0.46,0.13,0.61,0.58,0.58
prop-4.csv,STMB,0.49,0.53,0.6,0.42,0.12,0.6,0.52,0.53
prop-4.csv,KIAMB,0.52,0.53,0.6,0.43,0.11,0.6,0.54,0.55
prop-4.csv,TIE_P,0.65,0.55,0.63,0.51,0.16,0.63,0.64,0.64
